1,個人的ニュース
2,今までに会った、見かけた有名人。エピソード。
3,子供のころの夢
4,私の地元自慢
5,好きな曲 or 最近聞いている曲
6,今の職業じゃなかったら何をしていた？
7,私の暑さ対策
8,最近ハマっていること
9,仕事に疲れたときの気分転換の方法
10,ボーナスの使い道
11,普段休日何してる？
12,好きな（好きだった）スポーツ選手
13,オススメのyoutubeチャンネルまたは動画
14,最近または過去に困ったこと
15,夏休みの予定
16,今一番欲しいもの
17,最近感じた気付きや学び、なんかスゲーみたいに響いたこと
18,私の理想の暮らし
19,お気に入りの場所
20,◯◯さんに出会った頃の印象と今の印象とギャップ
21,新生活or春の思い出
22,今期シアトルで心に残った１コマ
23,今年中にやっておきたいこと
24,最も影響を受けた漫画の名台詞
25,あなたが秋を感じるタイミング
26,最近のプチハッピーなこと
27,最近買ったもの
28,ひょっとしたら私だけ
29,やめられない話
30,過去に所属していた習い事・部活・サークル・バイト・仕事についての話
31,仕事で大切にしていること
32,最近頑張ったこと
33,最近あったちょっとだけ笑えた話
34,モーニングルーティーンorナイトルーティン
35,夏の思い出
36,好きなおでんの具は何ですか？
37,コロナ無かったら行きたい場所もしくはやりたいこと
38,最近あった、しょうもないけど嫌だった出来事
39,朝型ですか？夜型ですか？
40,夏と冬どちらが好きですか？
41,住むなら田舎？都会？
42,インドア派？アウトドア派？
43,PCはノートとデスクトップどちらが好きですか？
44,動物園と水族館どちらが好きですか？
45,住んでみてよかった場所
46,習っていた(いる)習い事
47,地元の美味しいもの
48,おすすめ映画
49,旅先での思い出
50,チャレンジしてみたいこと
51,ケイドロは警察派？ドロボウ派？
52,好きだった給食
53,今一番食べたいもの
54,無人島への持ち物は3つまで。さあ、何を選ぶ？
55,一番影響を受けた本は？
56,子供の頃していた遊び
57,最後の晩餐にするなら？
58,好きな有名人
59,実は苦手なもの
60,最近購入した高価なもの
61,今年の夏の思い出
62,社内活動の経費で絶対に買うもの
63,死ぬまでにやっておきたいこと
64,今までで一番辛かったこと
65,私の家族構成
66,仕事中に聴いている音楽
67,セブンイレブンでオススメの商品
68,好きなスーパーはどこですか？
69,イチオシのアイス
70,いちばん苦手な家事
71,こどものころ親や先生によく怒られたことってどんなことですか？
72,周りから「意外だね」と言われる趣味
73,やってみたけれど、続かなかった趣味
74,あなたの人生の転機となった決断や出来事
75,あなたの思う「仕事のデキる人」
76,一番好きなドラマは何ですか？
77,一番仕事がはかどるときってどんなときですか？
78,こどもの頃好きだったテレビ番組は何でしたか？
79,「ちょっと休んだほうがいいかもな」って思うのはどんなとき
80,最近見た夢のことを教えてください
81,今一番待ち遠しいことって何ですか？
82,絶対自分に向いていなそうな職業
83,今までに知り合った人の中で一番珍しい名字
84,こどもの頃一番得意な教科
85,あなたの初めてのインターネット体験
86,あなたにとってのプチ贅沢
87,あなたが初めて買ったＣＤ（レコード）
88,これまでやったことのあるアルバイト
89,あなたの青春の思い出
90,今住んでいる街のお気に入り
91,幸せを感じる瞬間
92,10年前何してた？
93,憧れの人、尊敬する人
94,今までで一番怒った経験は？
95,三年後、どうなっていたい？
96,将来について語る
97,実は私〇〇です
98,仕事で、え？噓でしょ？と思ったこと
99,今までもらった中で一番不思議なプレゼントは何ですか？
100,今のあなたの生活を表す曲は何ですか？
101,あなたは何ヶ国語を話せますか？
102,あなたの好きな場所はどこですか？
103,あなたは聞く人ですか、それとも話す人ですか？
104,10年後までのあなたの目標は？
105,夢のマイホームはどこに建てますか？
106,もし他の言語を話すことができるとしたら、それは何ですか？
107,6歳のとき、大人になったら何になりたいと思いましたか？
108,あなたの短所は何ですか？
109,あなたの長所は何ですか？
110,あなたの好きな家族の伝統は何ですか？
111,子供の頃に憧れた俳優や女優を教えてください。
112,あなたの最も不幸な日は何ですか？
113,酔っぱらってやった一番面白いこと、または酔っぱらった後の面白いことは？
114,子供の頃、一番親に迷惑をかけたことは何ですか？
115,高校時代、一番バカなことをしたのは？
116,夏休みにしたいことは？
117,あなたの最も偉大な功績は何ですか？
118,好きなスポーツは？
119,親友との思い出（動物でもOK)
120,ストレス解消になることは何ですか？
121,もし宝くじが当たったら、何をしますか？
122,あなたはどんな人だとよく言われますか？
123,あなたが一番恐れていることは何ですか？あなたが今まで直面した最大の恐怖は何ですか？
124,初恋の相手と出会ったのはいつですか、そしてどのように？
125,実際に人から呼ばれているニックネームは？
126,今年読んだ本の中で一番良かった本は？
127,初任給で買ったもので一番印象に残っているものは何ですか？
128,今でも引用できるような、子供の頃に好きだった寝物語は何ですか？
129,できることなら持ちたい才能は何ですか？
130,もし、もう一度映画を観るとしたら、どんな映画を観たいですか？
131,あなたが最も恐れている動物の名前は何ですか？なぜ？
132,あなたの大吉は何ですか？
133,もし、あなたが開発者でない場合、どうしますか？
134,高校時代の最も印象的な思い出は？
135,仕事中、音楽を聴きますか？もしそうなら、どんな音楽を聴くのが一番好きですか？
136,思いもよらない習慣になったものは何？
